Date,Package Number,Weight,Amount
19/04/2024 14:37:40,0,0,2.0
19/04/2024 14:37:41,1,0,2.0
19/04/2024 14:39:39,0,0,10.0
19/04/2024 14:39:45,1,0,5.0
19/04/2024 14:39:52,3,1,3.0
14/05/2024 17:28:56,0,0,10.0
14/05/2024 17:28:59,1,0,10.0
14/05/2024 17:29:04,3,1,10.0
26/12/2024 17:22:27,9,6.0,80.0
26/12/2024 17:24:00,10,4.0,-5.0
26/12/2024 17:26:08,11,3.0,4.0
19/04/2024 14:37:40,0,0,2.0
19/04/2024 14:37:41,1,0,2.0
19/04/2024 14:39:39,0,0,10.0
19/04/2024 14:39:45,1,0,5.0
19/04/2024 14:39:52,3,1,3.0
14/05/2024 17:28:56,0,0,10.0
14/05/2024 17:28:59,1,0,10.0
14/05/2024 17:29:04,3,1,10.0
26/12/2024 17:22:27,9,6.0,80.0
26/12/2024 17:24:00,10,4.0,-5.0
26/12/2024 17:26:08,11,3.0,4.0
26/12/2024 17:41:06,23,3.0,5.0
19/04/2024 14:37:40,0,0,2.0
19/04/2024 14:37:41,1,0,2.0
19/04/2024 14:39:39,0,0,10.0
19/04/2024 14:39:45,1,0,5.0
19/04/2024 14:39:52,3,1,3.0
14/05/2024 17:28:56,0,0,10.0
14/05/2024 17:28:59,1,0,10.0
14/05/2024 17:29:04,3,1,10.0
26/12/2024 17:22:27,9,6.0,80.0
26/12/2024 17:24:00,10,4.0,-5.0
26/12/2024 17:26:08,11,3.0,4.0
19/04/2024 14:37:40,0,0,2.0
19/04/2024 14:37:41,1,0,2.0
19/04/2024 14:39:39,0,0,10.0
19/04/2024 14:39:45,1,0,5.0
19/04/2024 14:39:52,3,1,3.0
14/05/2024 17:28:56,0,0,10.0
14/05/2024 17:28:59,1,0,10.0
14/05/2024 17:29:04,3,1,10.0
26/12/2024 17:22:27,9,6.0,80.0
26/12/2024 17:24:00,10,4.0,-5.0
26/12/2024 17:26:08,11,3.0,4.0
26/12/2024 17:41:06,23,3.0,5.0
