Date,Operation
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:24:00,Venta realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:24:00,Venta realizada
26/12/2024 17:26:08,Compra realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:24:00,Venta realizada
26/12/2024 17:26:08,Compra realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:24:00,Venta realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:24:00,Venta realizada
26/12/2024 17:26:08,Compra realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:24:00,Venta realizada
26/12/2024 17:26:08,Compra realizada
26/12/2024 17:41:06,Purchase made 
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:24:00,Venta realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:24:00,Venta realizada
26/12/2024 17:26:08,Compra realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:22:27,Compra realizada
26/12/2024 17:24:00,Venta realizada
26/12/2024 17:26:08,Compra realizada
26/12/2024 17:41:06,Purchase made 
